카드이름,할인내용2,할인율2(%),할인내용3,할인율3(%),할인내용4,할인율4(%),할인내용5,할인율5(%),할인내용6,할인율6(%),할인내용7,할인율7(%),할인내용8,할인율8(%),할인내용9,할인율9(%)
KB국민 HERITAGE Smart [할인형],"국내가맹점 실적, 한도 없이 1%할인해외가맹점 실적, 한도 없이",3.0,,,롯데백화점 등 백화점 최대 6%할인신라면세점등 인터넷면세점 최대6%할인발란 등 온라인 명품 최대 6%할인 랭킹닭컴 배송완료시 포인트 6배 적립유어버스데이 꽃배달,20.0,"택시 최대 6%할인버스, 지하철",1.0,"골프장, 요가업종 등 최대 6%할인롯데월드 등 1%청구할인전월 이용실적 조건 및 적립한도 없음아고다 국내외 호텔 예약시 10%할인국내, 해외 렌터카 최대",90.0,"GS주유소,SK주유소등 최대",6.0,"CU, GS25 등 최대",6.0,"국내가맹점 실적, 한도 없이 1%할인해외가맹점 실적, 한도 없이",3.0
삼성 BIZ iD BENEFIT 카드,,,,,,,,,,,주유·전기차충전요금,3.0,이동통신·인터넷/유선통신,3.0,,
원더카드 T  ,SKT통신요금 20% 적립T멤버십 바코드 결제,20.0,대형 마트,10.0,대중교통,10.0,,,,,,,,,SKT통신요금 20% 적립T멤버십 바코드 결제,20.0
현대카드Z family,이마트·홈플러스·롯데마트,10.0,배달의민족·요기요·쿠팡이츠,10.0,네이버쇼핑·쿠팡·G마켓 등,10.0,,,통신요금 7% 할인아파트관리비 · 도시가스,7.0,,,,,이마트·홈플러스·롯데마트,10.0
KB국민 Easy on카드,온라인신규신청 연회비,100.0,야놀자·여기어때·데일리호텔,5.0,배달의민족 5% 할인 외식업종,5.0,G마켓·옥션·11번가 최대 10%할인쿠팡·티몬·위메프 5% 할인롯데·현대·신세계백화점 5% 할인마켓컬리,5.0,스타벅스·커피빈 5% 할인제과·아이스크림 업종,5.0, GS25·CU,5.0,멜론·지니,5.0,온라인신규신청 연회비,100.0
알뜰교통 신한카드,신규 고객 연회비,100.0,버스/지하철 이용액 결제일 10%할인택시 이용액 결제일,10.0,3대 대형마트 주말 이용액,10.0,스타벅스/커피빈 등 결제일,10.0,편의점 이용액 결제일,10.0,전기차 자동차 보험 가입 3만원 할인전기차 충전요금 최대 50% 할인전기차 하이패스 요금,10.0,병원/약국 이용액 결제일,10.0,신규 고객 연회비,100.0
KB국민 Easy Pick카드,온라인신규신청 연회비,100.0,대형마트 이용 시,5.0,이용 시,5.0,"홈쇼핑, 백화점, 소셜커머스 5%적립인터넷쇼핑몰 최대10%,마켓컬리",5.0,배달앱 이용 시,5.0,온라인서점 이용 시,5.0,편의점 업종 이용 시,5.0,온라인신규신청 연회비,100.0
코웨이 KB국민카드,,,,,뷰티업종에서,5.0,,,,,,,,,,
KB국민 그린카드(전국형),에코머니 가맹점 최대,5.0,,,대중교통 이용 시 최대 20% 적립철도 업종 이용 시 최대,10.0,,,대형마트 이용 시 최대,3.0,,,,,에코머니 가맹점 최대,5.0
KB국민 쿠쿠렌탈Ⅱ카드,,,,,,,,,,,,,,,,
KB국민 CLiP카드,,,,,,,,,,,,,,,,
T-Premium KB국민카드,,,,,,,,,,,,,,,,
KB국민 Liiv M Ⅱ카드,,,,,,,,,,,,,,,,
현대카드ZERO Edition2(포인트형),,,,,,,,,,,,,,,,
이디야 하나카드,,,디지털 구독,30.0,대중 교통,5.0,,,,,,,,,,
하나 국민행복카드,,,"병원, 약국 업종",5.0,,,커피 전문점,10.0,,,,,,,,
IBK-Hybrid카드,,,,,,,,,,,,,,,,
현대카드Z ontact,"넷플릭스, 유튜브프리미엄, 왓챠 등디지털콘텐츠 이용금액의",30.0,온라인쇼핑 월 멤버십이용금액,70.0,배달 앱 이용금액의,10.0,커피전문점 스마트오더이용금액의,50.0,온라인 간편결제 서비스이용금액,10.0,,,,,"넷플릭스, 유튜브프리미엄, 왓챠 등디지털콘텐츠 이용금액의",30.0
NH농협 올원 파이카드,대중교통(버스/지하철),5.0,주요 커피전문점,20.0,국내 주요 편의점,5.0,국내 모든 온라인쇼핑몰 최대20%할인잡화,5.0,,,,,,,대중교통(버스/지하철),5.0
신한카드 국민행복 ,,,병원/약국/산후조리원,5.0,"SSG닷컴, 롯데ON, 11번가G마켓, 쿠팡",5.0,"어린이집/유치원 중 부모부담금,전국 학원",10.0,"배달의민족, 요기요",10.0,"넷플릭스, 유튜브프리미엄",50.0,,,,
THE CJ KB국민카드," CJ mall 5% 청구할인올리브영10%할인, 1%적립 추가제공CJ오쇼핑 TV방송·카탈로그",5.0,,,CJ푸드빌 최대,20.0,CJ 올리브영 구매시 10% 현장할인이용금액,1.0,CJ푸드빌,10.0,,,,," CJ mall 5% 청구할인올리브영10%할인, 1%적립 추가제공CJ오쇼핑 TV방송·카탈로그",5.0
the Red Edition5,연회비,100.0,,,,,,,,,,,,,연회비,100.0
현대카드X BOOST,,,모든 가맹점 실적별,1.0,,,,,,,,,,,,
the Red Stripe,,,,,,,,,,,,,,,,
#MY WAY (샵 마이웨이),,,,,,,,,,,,,,,,
기업은행 용인시민카드,,,"이마트, 홈플러스, 롯데마트, 농협주요 대형마트",5.0,,,주요 패밀리 레스토랑 20% 할인!불고기브라더스,20.0,"스타벅스, 커피빈, 카페베네 등주요 커피전문점",20.0,"쿠팡, 티몬, 위메프 등온라인 쇼핑",20.0,,,,
현대카드X3 BOOST,온라인 간편결제,5.0,,,모든가맹점 실적별,1.0,,,,,,,,,온라인 간편결제,5.0
Mile 1.6 아시아나,,,,,,,,,,,,,,,,
원더카드 HAPPY,페이결제,5.0,커피,5.0,대형 마트,5.0,주유/LPG충전,5.0,뷰티 앤 펫,5.0,,,,,페이결제,5.0
KB국민 그린카드(서울형),에코머니 가맹점 최대,5.0,,,대중교통 이용 시 최대 20% 적립철도 업종 이용 시 최대,10.0,,,대형마트 이용 시 최대,3.0,,,,,에코머니 가맹점 최대,5.0
원더카드 LIVING  ,생활요금,10.0,주유/LPG충전,10.0,커피,10.0,병원/약국,10.0,,,"택시업종, 카카오T, UT",10.0,,,생활요금,10.0
코스트코 리워드 현대카드,코스트코 결제시 최대 3% 포인트적립편의점·카페 등 최대 2% 포인트적립모든 가맹점 기본,1.0,"코스트코 매장, 온라인몰 결제 시최대",3.0,"스타벅스, 파리바게뜨, 뚜레쥬르 등최대",2.0,"GS25, CU, 이마트24최대",2.0,"CGV, 롯데시네마, 메가박스최대",2.0,버스 및 지하철최대,2.0,,,코스트코 결제시 최대 3% 포인트적립편의점·카페 등 최대 2% 포인트적립모든 가맹점 기본,1.0
현대카드M2 BOOST,,,,,,,,,온라인 간편결제 서비스,5.0,,,,,,
현대카드M3 BOOST,,,,,,,,,,,,,,,,
원더카드 DAILY,대중교통,10.0,편의점,10.0,영상스트리밍,40.0,온라인식품 & 쇼핑,10.0,,,,,,,대중교통,10.0
KB국민 LGU+ 심플라이트카드,,,,,,,,,,,,,,,,
My Trip AsianaClub 카드,,,,,,,,,,,,,,,,
트레이더스 신세계 삼성카드,트레이더스 최대,5.0,신세계백화점,5.0,이동통신,5.0,커피전문점,5.0,학원·서점·학습지·인터넷강의,5.0,병원·약국,5.0,,,트레이더스 최대,5.0
CLUB Signature SKYPASS,,,,,,,,,,,,,,,,
KB국민 SK매직 올림카드,,,"롯데월드, 에버랜드 50% 할인캐리비안베이",30.0,,,,,,,,,,,,
IBK-Syrup카드,,,,,,,,,,,,,,,,
NH농협 별다줄카드,국내 온라인 전 가맹점,7.0,무신사·크림·야놀자 등,14.0,"대중교통(버스,지하철)",5.0,"스타벅스,이디야",5.0,편의점,5.0,통신요금,5.0,배달앱,5.0,국내 온라인 전 가맹점,7.0
갤러리아 KB국민카드,갤러리아 백화점(Mall),5.0,,,,,,,,,,,,,갤러리아 백화점(Mall),5.0
국민연금증 연금하나카드,,,,,"GS25,CU,세븐일레븐",5.0,SSM,5.0,SK주유소,5.0,,,,,,
다둥이행복카드,,,스타벅스,20.0,자유적금 연 0.2% 금리 우대우리은행 이용 수수료면제우리은행 환전수수료,50.0,대중교통요금,10.0,,,,,유명의류 10%할인현대홈쇼핑,3.0,,
KB국민 청호나이스Ⅱ카드,,,,,,,,,,,,,,,,
KB국민 청춘대로 1코노미카드,편의점 업종 이용 시,20.0,모든 음식점 업종 이용 시 5% 적립배달앱 이용 시,5.0,,,택시 이용 시,5.0,쇼핑 업종,5.0,,,,,편의점 업종 이용 시,20.0
삼성페이 삼성카드 taptap,삼성 페이로 결제 시,10.0,이동통신요금 자동납부 시,10.0,,,,,,,,,,,삼성 페이로 결제 시,10.0
신세계 THE S VIP 삼성카드,신세계백화점,1.0,,,,,커피전문점,20.0,,,놀이공원 50%·워터파크,30.0,,,신세계백화점,1.0
T 라이트 삼성카드,,,커피전문점,5.0,배달앱,5.0,편의점,5.0,,,,,,,,
모두렌탈 KB국민카드,,,,,,,,,,,,,,,,
모두의 신세계 하나카드,"백화점, 아카데미 5% 청구 할인시코르닷컴",5.0,페이결제,5.0,카페 20% 청구 할인베이커리,20.0,택시,20.0,"놀이공원, 워터파크 30% 청구 할인프로야구, 프로축구",30.0,,,,,"백화점, 아카데미 5% 청구 할인시코르닷컴",5.0
하나멤버스 1Q카드 내맘대로,점심값,7.0,"11번가,G마켓,옥션",5.0,택시 10% 하나머니 적립교통영역 내맘대로 서비스 변경대중교통,5.0,편의점,7.0,"SKT/B,KT,LGU+",5.0,,,,,점심값,7.0
#tag1카드 Navy (태그원카드 네이비),통신요금,10.0,쇼핑,10.0,,,대형마트,5.0,패밀리레스토랑,10.0,놀이공원 본인,50.0,학원,10.0,통신요금,10.0
NH농협 알뜰교통카드,버스/지하철/택시/철도,10.0,렌터카/카쉐어링 10% 청구할인스포츠,5.0,오픈마켓 5% 청구할인H&B(뷰티),5.0,이동통신요금,5.0,배달앱,5.0,전기차 충전,10.0,커피전문점,10.0,버스/지하철/택시/철도,10.0
아모레퍼시픽IBK카드,,,"스타벅스, 커피빈, 투썸플레이스 등주요 카페전문점",20.0,"올리브영, GS, CU, 세븐일레븐주요 편의점",10.0,"이마트, 홈플러스, 롯데마트대형마트",5.0,,,,,레저전국 주요 놀이공원 최대,50.0,,
zgm.rounding카드,"골프•연습장, 스크린골프 5% 할인쇼골프 연습장 일 타석권",50.0,커피전문점,10.0,,,,,,,,,,,"골프•연습장, 스크린골프 5% 할인쇼골프 연습장 일 타석권",50.0
KB국민 톡톡 my living카드,온라인신규신청 연회비,100.0,"온라인쇼핑  최대 15% 적립쿠팡, 마켓컬리  최대 15% 적립슈퍼마켓 최대",15.0,이마트 등 대형마트 최대,15.0,이동통신요금 자동결제,10.0,렌탈 자동결제 ,10.0,학원 업종 최대,15.0,서점 업종 최대,15.0,온라인신규신청 연회비,100.0
Flex카드 몽블랑 에디션,,,스트리밍,30.0,커피,50.0,롯데면세점 최대,15.0,,,,,,,,
신한카드 Deep On Platinum+,신규 고객 연회비,100.0,"간편결제 온라인업종 이용시 10%할인요기요,GS프레시 추가",10.0,해외 이용금액,10.0,제주항공 · 에어부산,10.0,4대 편의점,20.0,올리브영·다이소,20.0,스타벅스·투썸플레이스,20.0,신규 고객 연회비,100.0
NU Blanc,국내 전가맹점 1~1.8% 포인트적립해외 전 가맹점,3.0,,,,,,,,,,,,,국내 전가맹점 1~1.8% 포인트적립해외 전 가맹점,3.0
신한카드 Shopping,커피전문점,10.0,,,5대 마트 10% 할인!창고형 할인매장,10.0,온라인서점,10.0,5대 백화점 10% 할인!프리미엄 아울렛 10% 할인!홈쇼핑 10% 할인!소셜커머스,10.0,"다이소, 올리브영",10.0,,,커피전문점,10.0
스타벅스 현대카드,,,,,,,,,,,,,,,,
NH농협 국민행복카드(비씨),,,"A 타입 혜택조산원, 산후조리원",5.0,A 타입 혜택주요 온라인 쇼핑몰,5.0,"A, B타입 공통 혜택주요 커피 전문점",20.0,"A, B 타입 공통 혜택주요 패밀리레스토랑",10.0,,,"A, B 타입 공통 혜택전국 시내버스, 지하철",5.0,,
신한카드 Edu,,,의료 업종 이용시,1.0,주요 3대 마트 이용시,1.0,,,,,,,,,,
참! 좋은 kt wiz 카드,"이마트,홈플러스,롯데마트,농협하나로대형마트",5.0,,,,,불고기브라더스 20% 현장 할인패밀리레스토랑,20.0,,,"KT위즈파크내 야구용품점 10% 할인쿠팡, 티몬, 위메프",20.0,,,"이마트,홈플러스,롯데마트,농협하나로대형마트",5.0
메리어트 본보이™ 더 베스트 신한카드,,,,,,,,,,,,,,,,
#Pay 신한카드,신규 고객 연회비,100.0,7개 Pay 국내 거래시,5.0,,,,,,,,,,,신규 고객 연회비,100.0
NH농협 올바른HOMETOWN카드,하나로마트/하나로클럽,5.0,슈퍼마켓 5% 청구할인홈쇼핑,10.0,병의원/약국 5% 청구할인건강식품,10.0,대중교통(버스/지하철),10.0,,,,,,,하나로마트/하나로클럽,5.0
LOCA 100,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0,,,쇼핑 관련 가맹점최대,1.0,카페/베이커리 가맹점최대,1.0,외식업종 가맹점최대,1.0,레저 관련 가맹점최대,1.0,문화 관련 가맹점최대,1.0,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0
My Trip SKYPASS 카드,,,진에어 항공권 구매 시,5.0,,,,,,,,,,,,
KB국민 아시아나 올림카드,,,,,,,,,,,,,,,,
zgm.streaming카드,,,스트리밍 이용요금,50.0,스타벅스 사이렌오더,50.0,온라인 간편결제,5.0,,,,,,,,
the Purple osée,,,,,,,,,,,,,,,,
신한카드 Air Platinum#,,,,,,,패션/요식 거리 이용금액,2.0,,,,,,,,
THE iD. PLATINUM (포인트),,,,,국내 가맹점,1.0,디지털콘텐츠,50.0,,,,,,,,
코웨이 플러스 하나카드,,,"이마트, 홈플러스, 롯데마트",3.0,커피빈,10.0,,,,,,,,,,
하나 스카이패스 아멕스 플래티늄,,,,,,,,,,,,,,,,
신세계 신한카드,신세계백화점 5% 결제일 할인이마트,5.0,해외 이용금액,5.0,커피숍,5.0,이마트,5.0,"GS칼텍스,S-Oil",5.0,온라인서점,5.0,,,신세계백화점 5% 결제일 할인이마트,5.0
카드의정석 UniMile in JEJU,제주도 숙박,5.0,제주도 관광지,5.0,5대항공사 UniMile,3.0,면세점 UniMile 2% 특별적립해외 UniMile,1.0,편의점 UniMile,1.0,,,,,제주도 숙박,5.0
IBK 그린카드 v2,,,"버스, 지하철 10%~",20.0,커피,10.0,온라인업종,5.0,생활요금,5.0,,,,,,
NH농협 SOHO 다사로이OIL카드,전 주유소 및 LPG,5.0,,,,,엔진오일 및 와이퍼 무료교환 서비스차량 구매액,1.0,카카오T대리 자동결제,10.0,,,,,전 주유소 및 LPG,5.0
NH농협 올바른POINT UP 카드,,,,,,,,,,,,,,,,
LOTTE ONers 롯데카드,L.POINT 최대,3.0,,,,,,,,,,,,,L.POINT 최대,3.0
신한카드 Deep Dream Platinum+,신규 고객 연회비,100.0,적립한도 없이０.7~1.1% 기본적립DREAM영역 이용시 최대5.5%적립해외 이용금액,10.0,제주항공·에어부산,10.0,,,,,,,,,신규 고객 연회비,100.0
신한카드 MY CAR,온라인 신규회원 연회비,100.0,모든 주유소 리터당 80원 결제일할인모든 충전소 리터당 40원 결제일할인전기차 충전요금,30.0,,,,,,,,,,,온라인 신규회원 연회비,100.0
신세계 멘즈라이프 삼성카드,신세계백화점,7.0,,,스타벅스,20.0,택시,3.0,편의점,3.0,골프연습장,3.0,신세계백화점 문화센터,7.0,신세계백화점,7.0
CLUB Signature Asiana Club,,,,,,,,,,,,,,,,
신세계 the Mile 하나카드,,,,,,,,,,,,,,,,
I’m WONDERFUL 플래티넘카드,롯데카드 온라인신청 특별혜택신규회원 연회비,100.0,,,,,,,,,,,,,롯데카드 온라인신청 특별혜택신규회원 연회비,100.0
카드의정석 UniMile,,,"해외, 면세점 UniMile 2%적립온라인여행사 UniMile",2.0,국내 렌터카 UniMile,1.0,,,"해외 박물관, 미술관",50.0,,,주유업종 UniMile,1.0,,
IBKhi카드,,,,,레저전국 주요 놀이공원 최대,50.0,"SKT, KT, LG U+ 통신3사휴대폰 이용 금액",3.0,"지하철, 버스 등 최대 300원 할인철도, 고속버스, 택시",5.0,,,,,,
삼성카드 스페셜마일리지,,,,,,,,,,,,,,,,
NH올원 Rental&코웨이카드,,,,,,,,,,,,,,,,
1Q Special+ (원큐 스페셜플러스),,,,,,,,,,,,,,,,
롯데백화점 FLEX 카드,,,롯데백화점 FLEX 카드로스트리밍,30.0,롯데백화점 FLEX 카드로카페,50.0,롯데백화점 FLEX 카드로롯데면세점 최대,15.0,,,,,,,,
우리카드 WON POINT AIR,적립한도 없이 0.8% 기본 적립전기차 충전,5.0,"멜론, 넷플릭스 정기결제",5.0,배달의민족 이용금액,5.0,스타벅스 사이렌오더 5% 적립카페 이용금액,1.0,온라인 쇼핑,3.0,대형마트 이용금액 1% 적립슈퍼마켓 이용금액,1.0,영화관 이용금액,1.0,적립한도 없이 0.8% 기본 적립전기차 충전,5.0
신한카드 The Classic+,,,,,,,,,,,제주JDC 면세점,8.0,,,,
삼성카드 BIZ LEADERS,,,온라인쇼핑몰,3.0,주유,3.0,할인점,3.0,4대 사회보험·손해보험,10.0,전기요금,10.0,이동통신·인터넷,10.0,,
현대카드 대한항공카드 030,,,,,,,슈퍼콘서트,20.0,,,,,,,,
ALL MY POINT 카드,,,쇼핑 가맹점,1.0,,,,,,,,,,,,
KB국민 스카이패스 티타늄카드,,,,,,,,,,,,,,,,
NH1961카드,,,온라인쇼핑,50.0,스트리밍,20.0,배달앱,10.0,,,,,,,,
신한카드 Globus,,,,,,,,,,,,,,,,
Hole In : WON 우리카드,골프 업종,5.0,"쿠팡,위메프,G마켓,11번가",1.0,"넷플릭스, 유튜브 프리미엄",1.0,,,S-OIL/현대오일뱅크 주유할인전기차 충전요금,10.0,커피전문점,10.0,,,골프 업종,5.0
L.CLASS L60카드(스카이패스형),,,,,,,,,,,,,,,,
신한카드 LABE,골프 기프트 옵션 연 1회(택1)1. 국내 골프장/연습장 5만원 할인2. 골프존 17만원 모바일상품권3. 부쉬넬 골프 거리측정기 할인권골핑 10%할인/배송비 2500원할인골프 레슨,10.0,,,,,배달의민족·쿠팡이츠,10.0,,,,,,,골프 기프트 옵션 연 1회(택1)1. 국내 골프장/연습장 5만원 할인2. 골프존 17만원 모바일상품권3. 부쉬넬 골프 거리측정기 할인권골핑 10%할인/배송비 2500원할인골프 레슨,10.0
KB국민 코웨이Ⅱ카드,,,,,,,,,,,,,,,,
인플카 현대카드,,,,,,,,,,,,,,,,
신한카드 RPM+,신규 고객 연회비,100.0,,,,,,,,,,,,,신규 고객 연회비,100.0
현대카드 대한항공카드 150,,,,,,,,,,,,,,,,
현대카드 MX Black,모든 가맹점 1% M포인트 기본 적립MX Black Zone,10.0,,,,,,,,,,,,,모든 가맹점 1% M포인트 기본 적립MX Black Zone,10.0
NH올원 쇼핑&TLC카드,,,"에버랜드,롯데월드,서울랜드",50.0,"스타벅스, 이디야",10.0,,,,,,,,,,
NH농협 올바른OIL카드,,,스타벅스/이디야,10.0,"CU, GS25",5.0,"버스,지하철,택시",5.0,카카오T대리,10.0,,,,,,
카드의정석 APT,,,유튜브 프리미엄 정기권 30%청구할인넷플릭스 정기권,30.0,,,,,,,,,,,,
THE iD. TITANIUM (포인트),,,,,,,,,,,,,,,,
NH농협 쏠쏠카드(SolSol),종합스포츠센터/요가,12.0,반려동물 업종,12.0,CGV,10.0,"스타벅스, 이디야 10% 청구할인주요 베이커리",10.0,주요 편의점,5.0,"SK에너지, NH오일",5.0,버스/지하철,5.0,종합스포츠센터/요가,12.0
신한카드 YOLOⓘ,신규 고객 연회비,100.0,택시 이용금액 최대,20.0,"CGV, 롯데시네마 최대",20.0,CU·GS25·세븐일레븐 최대,20.0,티몬·쿠팡 최대,20.0,스타벅스·커피빈 최대 20% 할인파리바게뜨·뚜레쥬르 최대,20.0,,,신규 고객 연회비,100.0
신한카드 핏(Fit),신규 고객 연회비,100.0,영역별 5회 이용 시 마다 스탬프적립모든 영역 스탬프 적립 시 추가포인트Flex 영역,10.0,,,,,,,,,,,신규 고객 연회비,100.0
CLUB PREMIER 카드 [Travel],국내 6대 저가항공,50.0,국내 면세점 업종,20.0,택시 업종,20.0,"스타벅스, 커피빈",20.0,,,,,,,국내 6대 저가항공,50.0
Mile 1.6 대한항공,,,,,,,,,,,,,,,,
SK매직 하나카드,,,대형마트 이용금액,3.0,커피빈,10.0,,,,,,,,,,
I’m WONDERFUL PLUS 카드,,,,,,,,,,,,,,,,
LOCA MONEY (로카 머니),"국내외 가맹점에서한도 제한 없이 로카로인 적립기본적립 1%, 특별적립",2.0,LOCA 카드 온라인신청 특별혜택신규회원 연회비,100.0,,,,,,,,,,,"국내외 가맹점에서한도 제한 없이 로카로인 적립기본적립 1%, 특별적립",2.0
CU·배달의민족 삼성카드 taptap,,,,,,,,,,,,,,,,
NU Biz,BASIC – 0.5% 포인트 적립OWNER -,5.0,OPERATION,5.0,,,,,,,,,,,BASIC – 0.5% 포인트 적립OWNER -,5.0
현대카드 대한항공카드 the First,,,,,,,,,슈퍼콘서트,20.0,,,,,,
현대백화점 FIT카드,현대백화점,5.0,,,,,,,,,,,,,현대백화점,5.0
쿠쿠 프리멤버쉽 하나카드,,,"이마트, 홈플러스, 롯데마트",3.0,커피빈 이용금액,10.0,,,,,,,,,,
L.CLASS L60카드(L.POINT형),L.POINT,1.0,,,,,,,,,,,,,L.POINT,1.0
카드의정석 댕댕냥이,온라인 신규 연회비,100.0,온라인 쇼핑 10% 청구할인오프라인 쇼핑,10.0,4대 PAY,5.0,해외 이용금액,1.0,,,"스타벅스, 폴바셋",10.0,,,온라인 신규 연회비,100.0
신한카드 Air One,,,,,,,,,,,,,,,,
CLUB Primus Skypass,,,,,호텔 식음매장,10.0,H패션몰(온라인),20.0,택시,10.0,,,,,,
NH20 해봄카드,,,[놀이해봄]전국 놀이공원 최대,50.0,"온라인 쇼핑몰 10% 청구할인어플리케이션 2,000원 청구할인해외 전가맹점 이용금액",2.0,"온라인서점, 어학시험",10.0,,,,,스타벅스/이디야 커피,30.0,,
그랑블루 1st,,,,,,,,,,,,,,,,
신한카드 B.Big(삑),신규 고객 연회비,100.0,"버스, 지하철 일 최대 600원 할인택시, KTX 이용금액",10.0,편의점 이용금액,5.0,롯데·현대·신세계·갤러리아,5.0,,,"전기요금, 통신요금",5.0,"SKT,KT,LG 자동이체",5.0,신규 고객 연회비,100.0
모두의 건강,저녁식사,5.0,대형마트,5.0,커피,5.0,온라인,5.0,골프/레저,5.0,병원,5.0,,,저녁식사,5.0
Diners Club MILEAGE,,,,,,,,,,,,,,,,
신한카드 Deep Once Plus,신규 고객 연회비,100.0,,,,,,,,,,,,,신규 고객 연회비,100.0
삼성카앤모아카드,,,,,CGV 동반 1인,50.0,,,,,,,,,,
신한카드 구독 좋아요,디지털 구독 이용금액,100.0,디지털 구독 이용금액 100% 할인생활서비스,10.0,,,,,생활서비스,10.0,생활서비스,10.0,생활서비스,10.0,디지털 구독 이용금액,100.0
현대카드 대한항공카드 070,,,,,,,,,,,,,슈퍼콘서트,20.0,,
ALL MY LIVING 카드,월납 생활비,5.0,일상 생활비,5.0,주말 생활비,5.0,월납 생활비,5.0,일상 생활비,5.0,월납 생활비,5.0,일상 생활비,5.0,월납 생활비,5.0
NH농협 올바른POINT UP+ 카드,,,,,,,,,,,,,,,,
신한카드 Deep Once,신규 고객 연회비,100.0,,,,,,,,,,,,,신규 고객 연회비,100.0
NH농협 콕카드,"B - 도시형 카드 혜택버스,지하철등 대중교통",10.0,B - 도시형 카드 혜택주요 커피전문점,10.0,,,A - 농촌형 카드 혜택주유소,10.0,"A, B형 통합 서비스주요 이동통신",10.0,B - 도시형 카드 혜택대형마트,10.0,A - 농촌형 카드 혜택 병의원 및 약국,10.0,"B - 도시형 카드 혜택버스,지하철등 대중교통",10.0
NH농협 온플래티늄(ON Platinum)카드(포인트),,,,,,,,,,,,,,,,
KB국민 U+ 알뜰모바일카드,,,,,,,,,,,,,,,,
신한카드 알뜰More(알뜰모아),,,,,,,,,,,,,,,,
IBK i-ALL 카드,,,,,,,,,,,,,,,,
신한카드 Unboxing,신규 고객 연회비,100.0,쇼핑,10.0,"이마트, 홈플러스, 롯데마트대형마트 이용금액",10.0,"CU, GS25, 세븐일레븐 편의점 이용금액",10.0,카페노티드,10.0,,,,,신규 고객 연회비,100.0
NH농협 올바른NEW HAVE 카드,,,,,,,,,,,,,,,,
기업은행 Oil & Life카드(Life),,,,,"캐리비안베이, 롯데월드, 에버랜드 등전국 놀이공원 최대",50.0,"통신사3사 SKT, KT, LGT휴대폰 이용금액",3.0,외식/커피 업종,10.0,,,,,,
삼성카드 taptap I,,,,,해외·여행 3% 할인 (해외겸용)여행,3.0,10대 커피전문점·제과점,30.0,,,"마켓컬리, 음식점 20% 할인슈퍼마켓·아울렛·백화점 등",3.0,,,,
NH농협 올바른BAZIC+ 카드,,,,,,,,,,,,,,,,
모두의 쇼핑,온라인쇼핑 10% 적립아울렛 쇼핑,5.0,"이마트,홈플러스,롯데마트 5% 적립신세계,롯데,현대 백화점 5% 적립이케아",5.0,,,,,,,,,,,온라인쇼핑 10% 적립아울렛 쇼핑,5.0
LOCA LIKIT Play,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0,LOCA LIKIT Play로영화관,60.0,LOCA LIKIT Play로스트리밍,60.0,LOCA LIKIT Play로쇼핑 멤버십,60.0,LOCA LIKIT Play로주유소,60.0,,,,,롯데카드 온라인신청 특별 혜택신규회원 연회비,100.0
IKEA Family with 신한카드,IKEA 매장 10% 결제일 할인IKEA 푸드 15% 결제일 할인롯데·현대·신세계백화점 5% 할인프리미엄 아울렛,5.0,이마트·홈플러스·롯데마트,5.0,GS25·CU·세븐일레븐,5.0,롯데시네마·CGV,5.0,이디야·스타벅스,5.0,이동통신요금,5.0,,,IKEA 매장 10% 결제일 할인IKEA 푸드 15% 결제일 할인롯데·현대·신세계백화점 5% 할인프리미엄 아울렛,5.0
아메리칸 엑스프레스 블루,편의점,7.0,배달앱,7.0,교통,5.0,통신,5.0,,,,,스타벅스·이디야커피,20.0,편의점,7.0
신한카드 Deep Making,신규 고객 연회비,100.0,혜택에 맞춰 총 포인트 적립,17.0,스타벅스·커피빈 등 최대 5% 적립베이커리 최대,5.0,항공권 결제 최대 5% 적립해외 일시불 결제 최대,5.0,통신사 자동이체 최대,5.0,GS25·CU 등 최대,5.0,주유소·충전소 최대,5.0,신규 고객 연회비,100.0
신한카드 플리,신규 고객 연회비,100.0,,,,,,,,,,,,,신규 고객 연회비,100.0
하나 BC 그린카드 [전국형],,,,,"버스, 지하철 10%~20% 적립KTX, 고속버스",5.0,,,,,,,,,,
L.CLASS L60 카드 (아시아나클럽형),,,,,,,,,,,,,,,,
아메리칸 엑스프레스 리저브,,,국내외가맹점 1% 멤버십리워즈 적립온라인쇼핑·해외 추가,4.0,배달의민족·쉐이크쉑·써브웨이 등Food 영역,30.0,스타벅스·커피빈·블루보틀 등Coffee 영역,30.0,CGV·넷플릭스·웨이브 등Movie 영역,30.0,,,,,,
NH농협 올바른BAZIC 카드,,,,,,,,,,,,,,,,
홈플러스 삼성카드,홈플러스 최대,5.0,의료비,5.0,,,,,,,,,,,홈플러스 최대,5.0
요기요 삼성카드,요기요 최대,10.0,커피전문점,5.0,편의점,5.0,생활잡화,5.0,스트리밍,10.0,,,,,요기요 최대,10.0
